sector,city,founded_year,startup_age_years,funding_stage,total_funding_sar,num_funding_rounds,num_investors,num_founders,speed_to_first_round_months,last_round_type,sama_sandbox,rega_sandbox,ntdp_participation,survival_score
Real Estate Tech,Riyadh,2022,2,Series A,5696,3,8,3,18,Series A,0,0,1,58.6
HR Tech,Riyadh,2020,4,Pre-Seed,491,2,2,2,21,Pre-Seed,0,0,0,55.4
Edtech,Riyadh,2015,9,Seed,2504,2,4,1,24,Seed,0,0,0,28.0
Healthtech,Jeddah,2010,14,Series A,13979,3,10,1,1,Series A,0,0,0,45.3
Fintech,Riyadh,2015,9,Seed,1962,2,6,1,12,Seed,1,0,1,41.6
Fintech,NEOM,2022,2,Series A,3895,4,8,4,22,Series A,1,0,1,54.9
Fintech,Riyadh,2022,2,Growth,454111,8,30,4,15,Growth,1,0,0,62.8
Agritech,Jeddah,2022,2,Pre-Seed,286,2,1,4,18,Pre-Seed,0,0,0,30.3
Healthtech,Dammam,2013,11,Series A,8279,2,7,2,12,Series A,0,0,1,46.2
Edtech,Dammam,2013,11,Pre-Seed,105,1,1,2,13,Pre-Seed,0,0,1,32.4
Fintech,NEOM,2014,10,Seed,1704,3,4,4,19,Seed,1,0,0,54.2
HR Tech,Jeddah,2022,2,Pre-Seed,311,2,2,4,6,Pre-Seed,0,0,0,49.7
Agritech,Khobar,2018,6,Pre-Seed,263,1,2,1,20,Pre-Seed,0,0,1,26.5
Real Estate Tech,Riyadh,2010,14,Seed,1140,1,2,3,10,Seed,0,1,0,33.2
Fintech,Jeddah,2012,12,Seed,2332,2,3,2,1,Seed,0,0,1,42.6
Fintech,Riyadh,2020,4,Series C,116266,6,24,4,26,Series C,0,0,0,63.3
Real Estate Tech,Riyadh,2013,11,Series A,11625,3,5,1,34,Series A,0,0,1,54.0
E-commerce,Riyadh,2011,13,Growth,369780,7,28,3,20,Growth,0,0,0,60.5
E-commerce,Riyadh,2018,6,Series A,6938,3,8,1,20,Series A,0,0,1,66.5
Real Estate Tech,Riyadh,2020,4,Pre-Seed,350,1,2,2,13,Pre-Seed,0,1,0,60.6
Healthtech,Riyadh,2016,8,Seed,601,2,2,2,32,Seed,0,0,0,29.5
Fintech,Riyadh,2010,14,Seed,2868,1,3,2,34,Seed,1,0,0,40.5
Real Estate Tech,Khobar,2018,6,Seed,1622,2,3,2,20,Seed,0,1,1,44.1
Real Estate Tech,Riyadh,2015,9,Series A,5327,2,7,3,30,Series A,0,1,0,56.8
E-commerce,Jeddah,2011,13,Seed,2379,1,2,1,18,Seed,0,0,0,47.0
