sector,city,founded_year,startup_age_years,funding_stage,total_funding_sar,num_funding_rounds,num_investors,num_founders,speed_to_first_round_months,last_round_type,sama_sandbox,rega_sandbox,ntdp_participation,market_growth_index,traction_score,monthly_revenue_sar,risk_category,survived_3_years,investment_score
Real Estate Tech,Riyadh,2021,3,Seed,1923,2,6,3,18,Seed,0,0,0,0.82,23.6,35992,High,1,55.9
HR Tech,Riyadh,2015,9,Seed,2340,2,2,2,20,Seed,0,0,0,0.65,29.0,16538,High,0,51.3
Edtech,NEOM,2022,2,Pre-Seed,267,2,1,3,11,Pre-Seed,0,0,0,0.58,11.1,4949,High,0,44.4
Healthtech,Riyadh,2022,2,Series A,8723,3,5,2,28,Series A,0,0,1,0.78,52.6,435852,High,0,41.7
Fintech,NEOM,2013,11,Seed,1615,3,2,4,13,Seed,0,0,0,0.9,26.3,10688,High,0,34.3
Fintech,Riyadh,2013,11,Series B,15842,4,13,3,11,Series B,0,0,0,0.9,61.6,1746894,Low,1,65.5
Fintech,Dammam,2020,4,Pre-Seed,399,1,3,4,23,Pre-Seed,1,0,0,0.9,12.8,7064,Medium,1,55.7
Agritech,Dammam,2016,8,Series A,13414,2,6,3,2,Series A,0,0,1,0.52,54.8,409420,Medium,1,58.8
Healthtech,Riyadh,2012,12,Series A,3646,3,7,3,27,Series A,0,0,0,0.78,51.7,176865,High,0,40.6
Edtech,Riyadh,2020,4,Series A,11216,2,9,1,13,Series A,0,0,0,0.58,39.4,137097,High,0,38.7
Fintech,Riyadh,2012,12,Series B,44403,4,8,3,27,Series B,0,0,1,0.9,73.7,2251423,Medium,1,64.1
HR Tech,Jeddah,2015,9,Series A,3007,2,9,2,30,Series A,0,0,0,0.65,48.4,180969,High,0,44.6
Agritech,Jeddah,2018,6,Series C,147286,4,22,2,24,Series C,0,0,0,0.52,82.8,11165209,Low,1,74.4
Real Estate Tech,Jeddah,2010,14,Seed,2121,2,3,1,9,Seed,0,1,1,0.82,43.9,73014,Medium,1,57.6
Fintech,Riyadh,2014,10,Seed,1772,2,5,3,5,Seed,1,0,1,0.9,48.6,72497,Medium,1,57.8
Fintech,Riyadh,2010,14,Pre-Seed,265,2,2,2,3,Pre-Seed,0,0,0,0.9,16.8,5720,Medium,0,54.4
Real Estate Tech,Riyadh,2010,14,Pre-Seed,244,1,3,2,29,Pre-Seed,0,1,0,0.82,18.1,4317,Medium,1,57.5
E-commerce,Riyadh,2012,12,Pre-Seed,130,2,3,3,16,Pre-Seed,0,0,1,0.72,25.3,6194,Medium,1,58.4
E-commerce,Jeddah,2012,12,Pre-Seed,494,1,2,4,12,Pre-Seed,0,0,1,0.72,27.0,4904,High,0,51.1
Real Estate Tech,NEOM,2013,11,Seed,2100,2,4,3,16,Seed,0,1,0,0.82,30.2,75526,Medium,1,45.3
Healthtech,Jeddah,2012,12,Pre-Seed,175,2,3,2,28,Pre-Seed,0,0,1,0.78,17.8,2506,Medium,0,53.5
Fintech,Riyadh,2015,9,Pre-Seed,230,1,1,2,25,Pre-Seed,1,0,1,0.9,26.9,6740,Medium,0,59.1
Real Estate Tech,Mecca,2021,3,Series C,87430,6,29,2,22,Series C,0,1,0,0.82,89.0,11106709,Medium,1,63.1
